0
"न  कटा  हुआ"
"न  खर्च किया हुआ"
"न  चिपकनेवाला"
"न  चूकने  योग्य"
"न  चूकने वाला"
"न  जाने क्यों?"
"न  पता लगा  हुआ"
"न  बदलने  वाला"
"न  भरने वाला"
"न  मानना"
"न  मानने  वाला"
"न  लिया जाना"
"न  सुलझा हुआ"
"न  हिलाया  गया"
न
नं  कंपनी
नं आधी कंपनी
न आना
न उकताने वाला
न कटा हुआ
नं कंपनी
नं कंपनी खड़ी रहे बाकी विश्राम
नं कंपनी थम
न कम न ज्यादा
न कर पाना
न कर पाने योग्य
न करना
न करने का बहाना
न करने के लिए समझाना
न करने पर
न कांपनेवाला
न कि उनकी औपचारिक भूमिकाओं अथवा उन संस्थाओं पर जिसके अंतर्गत वे कार्य करते हैं। व्यवहारवादी
न कि किसी निर्वाचित सरकार के हाथों में।
न कि पूरा जीव
न किंचन
न कुम्हलानेवाला
न के बराबर
न केवल घोर विरोध ही करता है बल्कि उसके उस विधान मंडल द्वारा अंतिम रूप से पारित होने में अनेक कठिनाहयाँ अथवा बाघाएँ भी उत्पन्न करता है
न केवल बल्कि
न केवल...बल्कि भी
न ख़तम होनेवाला
न खपाया हुआ
न खर्च किया हुआ
न खिलाया जाना
न खींचा गया
न खेलने लायक
न खोजा हुआ
न खोना
न खोला गया
न गेट
न घिरा हुआ
न घुल सकने योग्‍य
न घुलनेवाला
न चलाया हुआ
न चाहते हुए भी बिस्‍तर के कपड़ों को नोचना फाड़ना
न चाहना
न चिकनाया हुआ
न चिपकने वाला
न चिपकनेवाला
"न चुका  पाना"
न चुका पाना
न चूकने योग्य
न चूकने वाला
नं चौकी
नं चौकी सब ठीक बदली
न छापा हुआ
न छोडने योग्य
न छोड़ने लायक
न छोड़े जाने योग्य
"न जँचने  वाला"
न जँचने वाला
न जम जानेवाला
न जमा हुआ
न जहाजरानी का
न जानने वाला
"न जाने  कहाँ?"
"न जाने  क्या?"
न जाने कहाँ?
न जाने कैसे?
न जाने कौन?
न जाने क्या?
न जाने क्यों?
न जुड़ी हुई
न जोतने योग्य
न जोता गया
न जोता हुआ
न झड़ा हुआ
न झुकने वाला
न झुकनेवाला
न झुका हुआ
न टलने योग्य
न डगमगाने वाला
न डूब सकने वाला
न डूबने वाला
"न तराशा  गया"
न तराशा गया
न तो
न थकने वाला
न थकनेवाला
न थकाने वाला
न दग़ना
न दफ़नाया हुआ
न दिखाया गया
